	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
ALG1L2	0.018728	0.040898	0.053432	0.014257	0.039660	0.312594	0.036706	1.037468	0.666749	0.034574	0.027756	0.038567	0.021313	0.017144	0.036226	0.215662	0.066864	0.033273	0.014239	0.085254	0.146497	0.138622
ALG1L9P	0.015686	2.823778	0.039917	0.034104	0.009435	0.174387	0.021288	0.034415	0.017747	0.050315	0.028496	0.032481	0.059860	0.084465	0.066520	0.049096	0.027842	0.086869	0.038280	0.255039	0.189212	0.179515
ALG2	113.326523	89.975975	129.658981	71.036011	149.067444	4.346359	144.945175	84.504898	162.002487	103.584137	142.512024	53.865093	117.001198	126.190407	81.925896	99.689453	107.540131	153.987869	126.328156	17.859821	12.418585	13.015471
ALG3	350.556335	290.452942	284.564087	278.816711	304.001007	8.086141	285.583740	333.211304	282.764984	297.785950	511.771790	321.634430	531.171997	280.279694	306.117188	400.694885	356.967255	376.399536	361.855286	26.203724	20.232185	24.357384
ALG5	466.963318	325.643982	275.921967	312.634033	396.879272	7.210312	297.636169	422.134827	351.941956	359.356201	342.853821	298.305084	359.172729	240.439636	273.516510	274.492767	283.405090	309.727814	393.804443	25.526375	22.160145	24.210707
ALG6	270.764435	210.094025	265.941864	145.067078	188.390472	4.680144	159.296295	308.448242	194.395477	237.995987	200.910828	168.399384	153.324646	126.654640	128.241196	176.299698	316.674805	316.781738	252.810318	18.655758	14.834682	17.535105
ALG8	687.996582	582.206421	620.736572	669.027710	687.358826	13.171996	627.963745	756.941040	663.904297	739.461182	762.449768	684.059021	772.830078	505.282745	609.965332	636.026184	677.861084	646.717163	622.909973	37.248394	30.766800	35.850941
ALG9	69.105171	51.469101	30.343220	31.946821	22.565273	6.460200	31.143782	18.665115	47.811523	11.603825	95.172379	117.794647	112.362976	40.079052	27.777428	28.669128	37.000965	29.765127	39.892200	9.868434	7.655421	9.598434
ALKBH1	64.540848	23.748703	56.567616	55.776188	77.308289	4.459570	102.376953	31.740597	111.858917	45.960983	100.474770	63.440662	84.819786	87.904427	106.470871	68.166153	35.031902	85.249100	98.490128	14.730883	12.035679	12.191339
ALKBH2	60.391174	14.065097	37.901897	24.096416	59.466518	4.317769	14.103606	36.383392	21.249722	47.396126	113.615944	29.778572	62.469048	71.758812	72.308937	41.098785	48.779076	43.629402	24.323883	9.249243	8.215487	9.719623
