gene_id	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
ECI2	171.14	265.93	170.93	148.27	180.81	0.00	228.13	157.17	189.00	235.67	189.92	202.31	208.82	220.60	174.95	177.19	228.57	173.41	193.07	211.49	232.53	205.20
ECM1	1.76	1.51	7.58	2.43	6.31	0.00	4.00	5.09	7.02	4.86	6.31	3.92	6.59	16.76	3.18	7.49	1.10	2.99	4.23	4.61	0.85	3.15
ECM2	0.00	0.00	0.77	0.00	0.00	0.00	1.47	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.66	0.48	1.24	0.00	0.57	0.28	0.00
ECRP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ECSCR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ECSIT	6.33	5.27	3.04	10.01	16.74	0.00	10.87	8.06	18.95	21.14	14.41	6.57	11.96	15.98	15.13	15.36	4.22	0.75	17.14	17.70	18.48	25.96
ECT2	27.60	43.78	15.79	23.65	71.78	0.00	23.01	37.64	16.15	31.31	19.77	30.46	40.83	25.63	15.97	14.94	5.40	55.51	12.05	16.41	27.25	27.28
ECT2L	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19
EDA	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDA2R	0.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDAR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.38	0.00	0.00	0.00
EDARADD	3.91	8.46	12.32	7.50	2.83	0.00	2.49	1.27	7.42	7.23	14.48	60.54	7.41	14.58	13.48	4.75	4.49	15.20	10.53	2.94	3.90	5.13
EDC3	2.85	7.92	0.92	5.02	3.03	0.00	0.42	5.15	4.20	9.02	20.57	5.50	4.92	1.19	4.25	9.48	4.91	1.76	3.64	17.76	3.98	7.79
EDC4	2.63	0.81	4.01	5.87	3.87	0.00	3.69	2.29	0.56	0.12	3.13	1.00	0.56	2.84	3.82	3.08	0.80	1.45	0.77	0.00	0.92	1.11
EDDM13	0.00	0.00	2.05	0.50	2.51	0.00	0.00	1.09	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.14
EDDM3A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDDM3B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDEM1	3.88	0.84	2.32	5.21	5.37	0.00	7.85	3.19	3.34	2.10	5.02	9.27	2.91	7.31	3.41	5.93	4.95	3.62	2.86	0.19	1.44	1.73
EDEM2	9.71	16.70	17.88	5.17	7.21	0.00	11.55	23.18	15.53	20.24	20.17	4.73	25.00	34.77	24.25	22.03	14.09	0.00	31.81	40.67	12.45	16.88
EDEM3	4.90	2.19	0.96	8.44	6.34	0.00	3.21	4.49	4.80	5.49	0.56	2.20	2.97	2.00	4.15	4.12	2.07	6.77	11.70	3.25	3.86	3.39
EDF1	197.87	244.50	255.77	304.12	220.56	873.88	201.39	193.71	317.14	221.56	353.54	393.54	378.92	312.01	278.75	353.12	250.87	356.05	243.79	270.70	239.44	234.44
EDIL3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDN1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDN2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDN3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDNRA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDNRB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDNRB-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDRF1	8.06	0.10	6.27	3.01	12.91	0.00	9.03	2.27	2.15	5.18	4.11	4.38	1.54	0.00	2.44	1.75	8.68	0.62	6.34	12.23	1.94	3.69
EDRF1-AS1	0.00	0.00	0.00	0.00	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EEA1	7.72	6.83	2.02	7.40	3.94	0.00	13.84	8.98	4.40	4.75	6.30	2.31	5.29	4.69	0.60	4.48	3.98	17.34	2.83	8.77	3.08	6.17
EED	59.71	52.76	67.14	55.13	70.40	245.91	37.50	76.45	59.40	40.75	49.36	16.19	52.52	34.63	26.89	79.13	79.19	72.90	43.75	48.77	46.43	53.08
EEF1A1	2858.96	3010.18	3018.72	2763.64	2564.39	1526.03	2813.26	2338.49	2888.28	2925.58	3371.20	2916.83	3260.19	3834.13	3026.08	2595.82	3282.41	2788.53	3064.37	3561.01	1957.60	2264.80
EEF1A2	1.03	1.10	3.30	1.30	1.17	0.00	2.14	0.81	1.81	2.89	0.97	3.04	2.08	2.61	4.33	3.95	2.36	1.32	3.02	5.72	0.46	0.63
EEF1AKMT1	3.47	10.65	22.17	4.24	8.29	0.00	4.76	13.84	13.40	5.88	6.13	3.31	21.44	17.41	0.00	6.00	12.33	0.00	5.76	10.98	3.90	11.07
EEF1AKMT2	16.88	13.45	17.04	22.53	21.75	0.00	9.57	25.58	16.87	13.66	18.18	26.15	12.40	10.06	9.51	22.82	13.06	15.81	17.28	27.19	24.16	18.40
EEF1AKMT3	10.03	12.15	8.74	5.32	5.99	0.00	9.23	6.67	16.24	6.79	17.35	7.23	11.51	3.95	20.18	4.46	2.88	8.15	7.49	18.13	6.01	9.45
EEF1AKMT4	42.49	54.42	45.10	29.06	56.94	0.00	19.51	57.15	84.12	37.81	87.92	30.11	45.46	55.62	25.49	36.98	27.77	10.49	49.39	29.45	39.01	61.50
EEF1AKMT4-ECE2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EEF1B2	629.85	671.80	547.34	597.57	569.83	1413.39	377.32	637.09	657.84	585.78	491.43	337.40	485.11	552.12	431.09	609.42	631.50	677.35	603.94	471.89	549.11	556.59
EEF1D	133.74	156.32	156.60	120.77	123.36	967.19	157.17	78.69	107.56	140.00	157.34	151.90	215.16	186.11	186.71	143.99	165.87	143.01	151.78	231.10	75.91	99.29
EEF1DP3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EEF1E1	473.73	631.01	480.60	763.96	746.40	523.45	603.35	852.02	651.88	509.06	516.28	634.96	483.35	629.88	615.23	1002.09	403.18	638.81	660.63	456.68	726.71	539.15
EEF1E1-BLOC1S5	5.85	20.49	11.17	3.82	6.33	0.00	22.40	15.12	13.94	10.57	2.39	2.00	23.76	14.23	16.45	12.03	24.70	0.75	23.06	15.68	4.55	24.16
EEF1G	995.15	1035.71	1076.92	821.04	1024.90	723.88	1009.59	823.47	1090.04	1148.70	1383.97	1192.52	1241.96	1256.22	1189.40	1118.77	1135.00	1032.18	1170.58	1239.66	752.95	850.67
EEF2	27.63	39.56	30.39	25.05	20.80	170.26	32.09	23.33	27.63	29.79	43.99	29.84	43.61	43.81	42.23	34.94	21.08	28.33	30.66	37.69	3.98	12.12
EEF2K	1.83	0.98	3.64	1.41	0.97	0.00	4.75	1.58	1.85	1.43	1.64	1.06	0.72	0.94	1.29	1.09	1.64	1.48	1.97	1.94	1.78	0.77
EEF2KMT	7.46	6.96	8.77	4.04	1.65	0.00	0.00	4.97	4.46	6.16	18.69	3.90	5.53	1.32	5.89	3.19	1.93	0.00	6.25	15.38	4.34	5.80
EEFSEC	10.86	2.67	8.18	5.23	0.63	0.00	0.96	0.00	5.96	3.63	1.30	0.78	10.74	16.50	3.18	3.57	13.03	9.07	3.05	3.74	6.53	4.73
EEPD1	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.46	1.44	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.00
EFCAB1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFCAB10	3.00	4.26	3.60	7.21	7.37	0.00	16.45	9.76	1.69	6.17	6.32	10.18	1.61	3.33	3.86	8.87	3.59	1.85	5.24	4.78	21.23	15.96
EFCAB11	17.87	22.18	17.41	22.91	11.00	0.00	21.81	45.62	8.90	23.81	7.88	31.22	4.99	11.12	9.29	8.22	24.50	17.30	8.86	5.87	25.42	24.87
EFCAB12	0.00	0.00	0.00	1.73	0.00	0.00	0.00	0.00	0.00	0.00	3.14	0.00	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFCAB13	1.36	0.35	2.14	2.62	3.58	0.00	2.09	1.61	4.00	3.73	1.91	3.81	0.00	0.00	0.00	7.83	2.73	1.78	4.87	0.00	0.68	1.44
EFCAB14	15.95	7.07	3.50	12.01	9.50	0.00	20.11	6.06	12.94	9.94	12.19	4.59	7.69	3.63	8.38	15.91	8.86	2.41	11.71	17.53	4.29	2.91
EFCAB14-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.41	0.00	0.00	0.00
EFCAB2	55.73	111.94	38.63	70.63	49.82	0.00	29.72	80.03	57.06	51.17	28.39	93.28	32.19	37.95	66.49	71.45	78.98	108.85	72.01	64.72	28.01	25.55
EFCAB3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFCAB5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.53	0.00	0.00	0.00	0.00	0.00	0.00	0.98	0.00	0.20	0.00	0.00	0.48	0.33
EFCAB6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFCAB6-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFCAB7	12.90	20.87	20.81	12.94	13.33	0.00	0.00	20.27	8.66	0.00	7.60	0.96	1.91	23.14	9.48	16.07	0.00	8.90	1.88	8.83	11.32	13.12
EFCAB8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFCAB9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFCC1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFEMP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.07	0.00	0.00	0.00	0.00	5.17	0.00	0.00	0.00	0.00	0.00	0.00	1.18	0.14
EFEMP2	0.00	0.00	0.26	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00
EFHB	3.43	1.46	3.99	11.99	13.50	0.00	0.00	8.02	7.72	5.50	2.80	6.35	7.03	9.95	13.55	5.61	2.45	0.00	12.19	0.00	0.75	2.09
EFHC1	5.86	9.77	1.94	8.08	7.94	0.00	6.52	4.66	5.59	8.50	6.59	8.73	8.17	6.20	1.79	4.26	6.68	7.87	4.60	4.68	6.97	8.66
EFHC2	7.14	0.40	0.00	6.07	4.23	0.00	7.30	3.67	9.19	1.58	10.52	9.91	0.00	0.00	9.17	5.14	0.00	15.97	0.00	0.00	0.00	1.53
EFHD1	1.74	3.38	0.32	4.26	2.08	0.00	0.00	1.03	5.85	3.50	11.69	0.00	3.23	8.74	0.00	12.56	4.51	5.28	0.48	3.54	4.64	2.96
EFHD2	4.64	6.72	12.31	8.41	6.33	0.00	4.19	3.99	8.48	6.67	3.18	4.29	9.11	5.91	3.43	6.02	12.61	7.75	4.66	7.37	3.00	3.47
EFL1	13.56	18.47	13.14	5.74	8.44	0.00	0.00	11.21	3.34	14.48	6.71	25.07	11.42	18.08	4.55	9.90	49.77	7.42	6.24	8.85	9.11	8.99
EFNA1	7.34	0.00	6.27	15.47	4.76	0.00	0.00	13.15	6.88	14.68	3.77	9.99	4.50	17.21	5.63	4.71	11.76	4.66	5.66	0.00	2.96	4.12
EFNA2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.04	0.00	0.00	0.00	0.00	0.00	0.00
EFNA3	0.19	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	1.05	0.74	0.00	0.00	0.00	0.43	0.00	0.00	0.00	0.00
EFNA4	2.54	12.00	0.00	6.43	5.38	0.00	9.71	0.39	2.95	0.00	0.00	0.00	2.66	0.00	6.11	4.09	3.10	9.75	0.00	0.00	0.88	7.31
EFNA5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFNB1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFNB2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFNB3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFR3A	5.66	7.35	5.97	3.26	8.37	0.00	0.99	5.36	7.33	7.03	11.55	0.11	4.58	0.90	7.62	3.06	1.30	12.20	6.08	6.80	3.85	5.22
EFR3B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFTUD1P1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFTUD2	17.57	21.87	26.90	17.35	25.93	0.00	27.65	19.88	14.57	24.57	36.25	20.94	23.70	26.77	26.25	32.56	18.18	22.81	45.22	30.59	20.29	27.17
EGF	2.03	0.00	0.88	1.62	0.00	0.00	0.00	0.07	0.00	0.00	0.34	1.57	0.00	0.00	2.21	2.09	1.37	0.00	0.00	0.00	0.16	0.00
EGFEM1P	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EGFL6	2.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EGFL7	7.60	17.87	24.15	13.56	12.21	0.00	11.90	12.60	10.38	11.02	22.98	15.18	16.47	9.59	17.65	18.18	13.09	21.23	14.99	7.60	10.11	14.07
EGFL8	1.93	3.08	4.07	0.59	0.00	0.00	0.43	0.65	4.23	0.46	7.72	4.87	5.54	2.70	1.24	2.93	1.26	0.00	0.61	0.00	2.91	2.36
EGFLAM	4.77	2.89	6.20	7.62	0.00	0.00	1.64	0.00	9.23	10.85	6.32	5.69	12.48	2.71	0.00	7.40	3.08	0.00	0.00	3.37	3.97	6.26
EGFLAM-AS2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EGFLAM-AS4	0.00	5.15	3.28	0.00	0.00	0.00	0.00	0.00	0.36	0.00	1.25	0.00	2.09	0.00	0.00	0.00	0.00	0.49	6.36	2.20	1.77	2.73
EGFR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EGFR-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EGLN1	1.54	6.63	2.08	5.63	2.93	0.00	2.19	3.75	1.06	3.08	1.98	4.55	4.47	2.81	1.31	2.60	3.86	6.37	2.27	2.65	2.98	2.71
EGLN2	17.87	23.17	18.88	17.08	5.79	0.00	17.40	13.55	16.02	19.34	28.24	23.27	20.57	13.95	13.48	18.15	10.58	22.50	16.84	21.23	4.27	12.91
EGLN3	2.66	6.05	0.00	2.30	0.17	0.00	0.00	0.74	1.52	3.16	3.09	1.05	0.00	0.00	5.37	0.00	8.26	0.00	5.87	3.82	1.25	6.17
EGOT	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EGR1	0.21	1.53	2.23	0.35	1.03	0.00	0.00	0.64	0.79	0.00	0.91	3.83	0.00	0.00	0.00	1.23	0.99	0.00	1.66	0.68	0.57	0.13
EGR2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EGR3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EGR4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EHBP1	19.53	15.44	7.06	20.27	12.44	110.04	22.61	23.31	16.88	6.12	4.85	7.93	24.59	6.90	7.71	4.36	7.77	6.41	14.25	5.76	8.83	7.65
EHBP1L1	1.04	2.25	1.38	1.01	0.00	0.00	1.64	0.41	0.76	1.37	0.33	1.48	0.47	1.55	0.73	1.27	0.80	0.90	0.00	2.20	0.00	0.14
EHD1	1.21	0.65	1.05	0.11	1.24	0.00	0.47	0.36	1.97	0.17	3.13	1.20	0.41	2.12	0.46	2.97	1.16	4.78	2.67	0.27	1.27	0.87
EHD2	1.22	2.78	0.83	1.83	0.26	0.00	2.05	0.11	3.05	0.95	1.32	0.08	5.56	0.00	4.15	2.48	4.95	3.61	3.52	0.51	1.75	2.89
EHD3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EHD4	1.17	1.96	2.60	1.02	3.50	0.00	3.11	4.69	0.57	1.38	1.65	0.00	0.63	3.57	0.00	0.99	0.81	6.31	0.00	0.84	1.24	1.30
EHD4-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EHF	2.93	5.52	0.09	0.00	1.35	0.00	0.57	1.90	0.20	3.45	2.24	1.77	5.02	0.24	1.16	2.97	6.31	0.20	3.24	2.23	0.16	0.31
EHHADH	4.35	3.15	4.39	0.00	2.49	0.00	1.91	5.66	2.55	3.39	3.44	3.47	6.10	1.33	0.00	6.43	6.20	3.16	0.58	6.05	1.62	5.59
EHHADH-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EHMT1	4.25	2.59	3.03	1.90	1.65	0.00	3.08	0.59	3.82	4.98	3.88	2.96	3.55	3.95	2.71	3.78	1.44	7.25	2.77	5.59	1.00	1.55
EHMT2	2.98	12.07	5.89	6.00	10.38	0.00	14.66	4.66	7.13	10.36	4.14	4.48	8.84	3.66	8.05	4.09	5.55	9.88	5.53	8.42	2.29	1.95
EI24	128.89	173.31	111.93	115.92	117.02	728.44	82.06	110.84	143.53	123.30	106.22	87.14	118.98	166.07	79.05	140.51	221.55	129.61	96.35	95.45	142.14	135.12
EID1	158.75	148.79	133.91	202.10	178.95	0.00	235.06	170.21	183.72	159.97	111.50	145.94	191.64	162.88	190.85	131.30	131.38	169.71	123.13	121.67	206.32	179.82
EID2	17.15	18.25	28.43	35.91	28.89	402.50	33.97	19.97	33.89	21.77	14.96	33.77	22.80	43.60	31.45	37.80	15.07	12.78	25.09	9.80	23.50	11.83
EID2B	2.38	4.09	7.44	4.88	2.88	0.00	0.00	3.74	10.32	3.57	17.89	2.46	11.04	0.00	5.73	1.93	3.03	0.00	6.42	0.00	2.81	7.17
EID3	0.00	0.00	5.29	0.00	0.00	0.00	4.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.09	0.00	6.22	0.00	0.00
EIF1	2289.77	2879.46	2213.49	2673.04	2194.33	2971.34	1894.77	2233.92	2539.86	2138.00	2612.27	2201.54	2088.83	2227.17	2706.63	2474.21	2877.35	2256.02	1996.63	2168.52	3281.50	3098.03
EIF1AD	3.73	1.30	6.88	6.54	5.83	0.00	4.78	5.63	9.89	4.70	7.50	4.01	5.76	6.99	0.11	8.86	1.96	6.93	6.42	12.89	10.54	6.78
EIF1AX	34.73	46.91	40.68	51.09	52.70	120.23	35.52	57.25	51.23	30.98	26.59	40.29	25.82	32.95	40.44	35.56	42.76	32.63	42.63	49.21	67.79	48.46
EIF1AX-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EIF1AY	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EIF1B	876.33	818.34	802.65	1007.48	917.79	569.22	911.20	1029.46	655.56	787.68	710.07	686.21	575.04	501.06	844.21	623.40	779.40	920.52	721.40	723.12	1164.21	877.21
EIF1B-AS1	2.11	4.61	5.53	2.11	1.55	0.00	1.02	5.75	4.09	7.96	0.92	4.12	2.41	1.86	0.73	0.99	0.37	0.00	2.87	0.59	1.73	1.60
EIF2A	86.03	61.66	65.36	51.53	76.00	0.00	69.63	102.26	51.87	60.21	29.62	32.93	53.44	53.05	37.09	36.53	56.45	27.56	45.45	58.99	61.89	66.93
EIF2AK1	75.60	74.94	86.62	72.20	81.20	0.00	65.08	55.98	68.35	54.25	44.81	74.17	68.52	44.98	77.67	61.99	78.61	79.50	100.36	55.99	65.48	88.22
EIF2AK2	40.43	20.60	34.75	19.71	40.93	0.00	21.53	34.42	17.82	25.05	16.31	9.03	33.03	34.41	9.92	14.23	45.23	8.07	17.80	10.73	20.79	15.37
EIF2AK3	0.87	2.56	0.39	2.06	2.41	0.00	0.00	10.29	1.93	0.40	0.67	0.07	10.98	1.74	0.00	4.35	0.00	0.00	0.00	0.00	0.63	2.60
EIF2AK4	5.22	3.10	7.66	3.20	6.22	0.00	3.01	3.97	3.81	5.79	7.97	4.99	4.46	4.07	6.08	5.68	8.42	6.75	7.03	1.63	2.08	2.59
EIF2B1	75.55	64.75	89.66	51.67	82.17	294.09	88.90	94.75	85.84	67.67	124.89	80.12	102.68	82.71	115.58	90.92	105.43	93.21	127.90	154.50	102.54	104.20
EIF2B2	33.72	41.52	28.20	28.04	28.70	0.00	14.89	28.89	44.97	40.21	28.76	47.57	20.46	39.12	46.63	35.52	17.68	33.92	42.52	53.98	45.79	53.93
EIF2B3	103.89	116.49	166.49	108.96	147.26	0.00	153.63	122.30	173.06	110.03	125.29	83.46	139.80	145.73	98.91	129.52	201.48	122.20	176.41	198.87	238.57	234.28
EIF2B4	33.46	45.80	71.36	30.21	38.70	0.00	58.08	54.54	53.35	60.79	45.06	61.93	76.31	80.17	35.29	59.29	96.24	93.63	57.44	55.10	50.42	60.34
EIF2B5	24.60	25.91	25.60	19.13	5.72	0.00	31.78	16.95	19.84	22.69	30.62	27.57	25.17	30.84	8.75	26.13	7.77	22.61	21.39	23.60	26.70	30.52
EIF2D	48.05	48.35	41.70	38.90	28.30	0.00	33.53	33.03	17.83	51.44	28.15	30.06	54.24	54.62	18.61	50.73	46.94	65.91	50.93	16.83	54.39	73.65
EIF2S1	56.10	55.37	82.51	65.34	83.62	0.00	59.34	94.11	76.54	44.28	73.21	51.84	47.76	57.80	84.00	82.00	74.33	87.92	58.90	75.42	104.92	100.09
EIF2S2	123.20	202.88	197.78	191.55	164.07	1431.30	150.16	199.86	163.86	212.16	170.88	153.86	189.84	183.56	215.81	210.86	223.14	149.74	218.58	264.55	224.21	170.16
EIF2S3	61.35	41.57	56.36	80.90	82.87	154.69	76.97	73.09	69.70	64.13	52.83	52.58	51.78	81.46	80.33	66.95	45.66	58.75	81.63	52.02	35.10	31.71
EIF3A	71.62	39.14	33.25	40.85	33.25	78.62	25.15	21.60	31.37	34.26	31.99	28.98	35.29	24.60	32.63	28.78	39.84	56.29	43.23	40.10	21.38	29.25
EIF3B	43.14	55.55	56.98	33.58	53.70	0.00	42.14	41.67	44.95	59.82	48.50	47.19	68.16	28.54	45.52	63.45	59.60	60.04	41.52	48.71	58.18	72.13
