gene_id	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
ABCG1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCG2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCG4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00
ABCG5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCG8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABHD1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABHD10	18.28	5.92	18.05	12.93	20.28	0.00	4.24	10.90	7.11	6.66	12.15	17.50	10.64	13.90	0.50	8.28	8.19	5.42	15.22	6.56	25.13	18.06
ABHD11	8.62	16.29	12.38	10.00	6.05	0.00	5.17	2.55	6.91	13.57	27.37	7.44	7.16	8.37	5.91	15.39	7.62	18.95	14.22	18.10	7.66	11.46
ABHD11-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABHD12	3.61	0.42	6.22	5.13	0.00	0.00	0.00	5.91	5.38	9.00	4.10	2.60	4.79	1.85	2.91	5.49	5.08	3.20	2.49	13.84	6.01	8.16
ABHD12B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00
ABHD13	4.64	4.38	2.42	0.14	6.59	0.00	6.48	8.82	5.01	5.41	1.06	3.19	1.02	9.58	0.00	4.24	7.21	0.00	2.08	3.80	4.84	4.10
ABHD14A	15.11	2.92	21.24	10.90	3.48	0.00	14.29	13.76	13.36	4.96	26.07	6.75	8.94	9.13	18.60	12.01	14.96	10.68	8.37	13.42	6.89	4.23
ABHD14A-ACY1	6.05	0.00	7.58	0.00	2.07	0.00	5.52	0.00	15.85	14.23	1.81	14.63	5.72	10.22	6.38	7.69	24.07	1.40	7.07	8.70	0.00	12.08
ABHD14B	18.21	16.71	18.63	15.64	14.25	0.00	23.32	20.87	20.79	28.19	35.80	23.81	31.17	25.48	25.23	28.99	17.14	29.07	25.57	15.95	19.86	31.20
ABHD15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.73	0.68	0.00	3.23	0.00	8.62	2.26	0.00	0.23	0.00	0.00	1.81	0.00	0.00
ABHD16A	27.03	16.43	44.48	29.67	38.63	0.00	23.13	19.10	19.79	31.72	41.05	24.54	48.62	24.35	25.34	19.08	34.66	23.41	23.67	52.37	12.22	23.50
ABHD16B	0.00	0.00	0.87	2.54	0.00	0.00	0.00	0.46	0.00	0.00	0.55	0.00	0.79	0.56	0.00	0.00	4.02	0.43	0.00	0.18	0.00	0.00
ABHD17A	4.46	5.18	7.61	8.72	2.74	0.00	8.38	3.95	6.90	10.19	13.85	7.75	8.42	6.60	8.66	3.69	6.66	6.14	10.84	6.04	0.00	1.93
ABHD17B	1.50	3.77	3.69	7.52	3.21	0.00	4.91	2.43	2.61	2.56	5.19	0.00	2.77	6.92	4.01	4.45	0.99	5.65	3.11	0.00	2.30	2.27
ABHD17C	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABHD18	4.62	4.17	0.71	4.24	8.39	0.00	0.75	2.83	3.31	5.71	0.00	0.60	1.60	3.94	1.12	3.68	6.55	5.27	3.92	1.23	1.27	3.29
ABHD2	1.08	1.39	1.65	1.63	3.24	0.00	0.69	0.55	1.23	1.88	0.11	1.27	1.40	2.09	1.04	1.14	3.01	0.30	0.68	0.35	1.13	1.09
ABHD3	40.06	41.53	11.09	30.49	40.63	0.00	14.79	23.58	44.98	7.03	30.48	17.98	32.55	26.85	10.25	41.05	9.69	57.73	6.77	25.62	24.15	24.29
ABHD4	15.03	6.47	39.98	6.03	9.23	0.00	20.57	14.40	13.56	41.71	18.36	24.10	8.95	43.84	25.58	11.27	49.79	17.46	14.37	0.00	18.03	18.56
ABHD5	19.92	14.17	12.57	11.72	17.18	0.00	30.49	15.43	25.87	5.03	24.58	10.48	21.94	17.79	21.56	17.33	31.26	27.76	18.73	25.45	21.17	25.82
ABHD6	1.26	0.00	0.00	0.76	3.64	0.00	3.30	1.99	2.11	0.00	1.98	3.81	3.22	3.22	0.38	5.09	0.00	3.71	8.99	0.00	1.82	1.91
ABHD8	1.15	2.54	1.95	0.36	0.89	0.00	3.34	1.55	5.07	2.77	0.00	2.92	3.32	1.25	7.55	1.20	0.38	2.71	0.36	2.67	0.44	3.04
ABI1	17.70	11.40	29.97	47.12	26.90	0.00	35.99	31.98	22.72	26.46	29.12	32.75	20.18	23.85	12.85	31.88	19.43	31.90	29.79	29.35	25.64	29.42
ABI2	1.12	1.43	3.02	1.21	0.55	0.00	3.02	7.50	2.64	2.39	6.54	5.24	0.69	4.31	2.52	2.71	3.65	4.12	2.88	3.35	2.70	1.75
ABI3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABI3BP	0.00	0.00	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.58	0.00	0.00	0.00	0.00
